CNY	￥	中国，人民币	China, Yuan Renminbi
USD	$	美国，美元	Dollars
EUR	€	欧盟，欧元	Euro
GBP	£	英国，英镑	Britain (United Kingdom), Pounds
JPY	¥	日本，日元	Japan, Yen
AFN	؋	阿富汗，阿富汗尼	Afghanistan, Afghanis
ARS	$	阿根廷，比索	Argentina, Pesos
AWG	ƒ	阿鲁巴，荷兰盾	Aruba, Guilders (also called Florins)
AUD	$	澳大利亚，澳元	Australia, Dollars
AZN	ман	阿塞拜疆，新马纳特	Azerbaijan, New Manats
BSD	$	巴哈马，美元	Bahamas, Dollars
BBD	$	巴巴多斯，美元	Barbados, Dollars
BYR	p.	白俄罗斯，卢布	Belarus, Rubles
BZD	BZ$	伯利兹，美元	Belize, Dollars
BMD	$	百慕大，美元	Bermuda, Dollars
BOB	$b	玻利维亚，Bolivianos	Bolivia, Bolivianos
BAM	KM	波黑，可兑换马克	Bosnia and Herzegovina, Convertible Marka
BWP	P	博茨瓦纳，Pulas	Botswana, Pulas
BGN	лв	保加利亚，列弗	Bulgaria, Leva
BRL	R$	巴西，雷亚尔	Brazil, Reais
BND	$	文莱达鲁萨兰国，美元	Brunei Darussalam, Dollars
KHR	៛	柬埔寨，瑞尔	Cambodia, Riels
CAD	$	加拿大，加拿大元	Canada, Dollars
KYD	$	开曼群岛，美元	Cayman Islands, Dollars
CLP	$	智利，比索	Chile, Pesos
COP	$	哥伦比亚，比索	Colombia, Pesos
CRC	₡	哥斯达黎加，科隆	Costa Rica, Colón
HRK	kn	克罗地亚，库纳	Croatia, Kuna
CUP	₱	古巴，比索	Cuba, Pesos
CZK	Kč	捷克共和国，克克朗	Czech Republic, Koruny
DKK	kr	丹麦，克隆纳	Denmark, Kroner
DOP	RD$	多米尼加共和国，比索	Dominican Republic, Pesos
XCD	$	东加勒比，美元	East Caribbean, Dollars
EGP	£	埃及，磅	Egypt, Pounds
SVC	$	萨尔瓦多，科朗	El Salvador, Colones
EEK	kr	爱沙尼亚，克龙	Estonia, Krooni
FKP	£	福克兰群岛，英镑	Falkland Islands, Pounds
FJD	$	斐济，美元	Fiji, Dollars
GHC	¢	加纳，塞地	Ghana, Cedis
GIP	£	直布罗陀，磅	Gibraltar, Pounds
GTQ	Q	危地马拉，格查尔	Guatemala, Quetzales
GGP	£	根西岛，磅	Guernsey, Pounds
GYD	$	圭亚那，美元	Guyana, Dollars
HNL	L	洪都拉斯，伦皮拉	Honduras, Lempiras
HKD	$	香港，港币	Hong Kong, Dollars
HUF	Ft	匈牙利，福林	Hungary, Forint
ISK	kr	冰岛，Kronur	Iceland, Kronur
INR	₨	印度，卢比	India, Rupees
IDR	Rp	印尼，卢比	Indonesia, Rupees
IRR	﷼	伊朗，里亚尔	Iran, Rials
IMP	£	马恩岛，磅	Isle of Man, Pounds
ILS	₪	以色列，新谢克尔	Israel, New Shekels
JMD	J$	牙买加，美元	Jamaica, Dollars
